,STATION,STATION_ID,STATION_LAT,STATION_LON,DATE,TIME,NET_ARRIVALS
0,1 AV,L06,40.730953,-73.981628,10/19/2019,00:00:00,0
1,1 AV,L06,40.730953,-73.981628,10/19/2019,04:00:00,95
2,1 AV,L06,40.730953,-73.981628,10/19/2019,08:00:00,-257
3,1 AV,L06,40.730953,-73.981628,10/19/2019,12:00:00,-399
4,1 AV,L06,40.730953,-73.981628,10/19/2019,16:00:00,133
5,1 AV,L06,40.730953,-73.981628,10/19/2019,20:00:00,-148
6,1 AV,L06,40.730953,-73.981628,10/20/2019,00:00:00,49
7,1 AV,L06,40.730953,-73.981628,10/20/2019,04:00:00,181
8,1 AV,L06,40.730953,-73.981628,10/20/2019,08:00:00,-142
9,1 AV,L06,40.730953,-73.981628,10/20/2019,12:00:00,-290
10,1 AV,L06,40.730953,-73.981628,10/20/2019,16:00:00,-284
11,1 AV,L06,40.730953,-73.981628,10/20/2019,20:00:00,-357
12,1 AV,L06,40.730953,-73.981628,10/21/2019,00:00:00,85
13,1 AV,L06,40.730953,-73.981628,10/21/2019,04:00:00,31
14,1 AV,L06,40.730953,-73.981628,10/21/2019,08:00:00,-1666
15,1 AV,L06,40.730953,-73.981628,10/21/2019,12:00:00,-703
16,1 AV,L06,40.730953,-73.981628,10/21/2019,16:00:00,545
17,1 AV,L06,40.730953,-73.981628,10/21/2019,20:00:00,115
18,1 AV,L06,40.730953,-73.981628,10/22/2019,00:00:00,156
19,1 AV,L06,40.730953,-73.981628,10/22/2019,04:00:00,-12
20,1 AV,L06,40.730953,-73.981628,10/22/2019,08:00:00,-1651
21,1 AV,L06,40.730953,-73.981628,10/22/2019,12:00:00,-563
22,1 AV,L06,40.730953,-73.981628,10/22/2019,16:00:00,675
23,1 AV,L06,40.730953,-73.981628,10/22/2019,20:00:00,-825
24,1 AV,L06,40.730953,-73.981628,10/23/2019,00:00:00,-313
25,1 AV,L06,40.730953,-73.981628,10/23/2019,04:00:00,25
26,1 AV,L06,40.730953,-73.981628,10/23/2019,08:00:00,-1625
27,1 AV,L06,40.730953,-73.981628,10/23/2019,12:00:00,-586
28,1 AV,L06,40.730953,-73.981628,10/23/2019,16:00:00,562
29,1 AV,L06,40.730953,-73.981628,10/23/2019,20:00:00,-159
30,1 AV,L06,40.730953,-73.981628,10/24/2019,00:00:00,307
31,1 AV,L06,40.730953,-73.981628,10/24/2019,04:00:00,72
32,1 AV,L06,40.730953,-73.981628,10/24/2019,08:00:00,-1593
33,1 AV,L06,40.730953,-73.981628,10/24/2019,12:00:00,-528
34,1 AV,L06,40.730953,-73.981628,10/24/2019,16:00:00,806
35,1 AV,L06,40.730953,-73.981628,10/24/2019,20:00:00,-340
36,1 AV,L06,40.730953,-73.981628,10/25/2019,00:00:00,465
37,1 AV,L06,40.730953,-73.981628,10/25/2019,04:00:00,49
38,1 AV,L06,40.730953,-73.981628,10/25/2019,08:00:00,-1481
39,1 AV,L06,40.730953,-73.981628,10/25/2019,12:00:00,-450
40,1 AV,L06,40.730953,-73.981628,10/25/2019,16:00:00,572
41,1 AV,L06,40.730953,-73.981628,10/25/2019,20:00:00,-527
42,103 ST,119,40.799446,-73.968379,10/19/2019,01:00:00,0
43,103 ST,119,40.799446,-73.968379,10/19/2019,05:00:00,-385
44,103 ST,119,40.799446,-73.968379,10/19/2019,09:00:00,824
45,103 ST,119,40.799446,-73.968379,10/19/2019,13:00:00,2350
46,103 ST,119,40.799446,-73.968379,10/19/2019,17:00:00,1641
47,103 ST,119,40.799446,-73.968379,10/19/2019,21:00:00,1048
48,103 ST,119,40.799446,-73.968379,10/20/2019,01:00:00,-780
49,103 ST,119,40.799446,-73.968379,10/20/2019,05:00:00,-348
50,103 ST,119,40.799446,-73.968379,10/20/2019,09:00:00,519
51,103 ST,119,40.799446,-73.968379,10/20/2019,13:00:00,2444
52,103 ST,119,40.799446,-73.968379,10/20/2019,17:00:00,1341
53,103 ST,119,40.799446,-73.968379,10/20/2019,21:00:00,-355
54,103 ST,119,40.799446,-73.968379,10/21/2019,01:00:00,-530
55,103 ST,119,40.799446,-73.968379,10/21/2019,05:00:00,-101
56,103 ST,119,40.799446,-73.968379,10/21/2019,09:00:00,3927
57,103 ST,119,40.799446,-73.968379,10/21/2019,13:00:00,3148
58,103 ST,119,40.799446,-73.968379,10/21/2019,17:00:00,2739
59,103 ST,119,40.799446,-73.968379,10/21/2019,21:00:00,179
60,103 ST,119,40.799446,-73.968379,10/22/2019,01:00:00,-961
61,103 ST,119,40.799446,-73.968379,10/22/2019,05:00:00,-100
62,103 ST,119,40.799446,-73.968379,10/22/2019,09:00:00,4026
63,103 ST,119,40.799446,-73.968379,10/22/2019,13:00:00,3169
64,103 ST,119,40.799446,-73.968379,10/22/2019,17:00:00,3165
65,103 ST,119,40.799446,-73.968379,10/22/2019,21:00:00,85
66,103 ST,119,40.799446,-73.968379,10/23/2019,01:00:00,-1411
67,103 ST,119,40.799446,-73.968379,10/23/2019,05:00:00,-70
68,103 ST,119,40.799446,-73.968379,10/23/2019,09:00:00,4346
69,103 ST,119,40.799446,-73.968379,10/23/2019,13:00:00,3059
70,103 ST,119,40.799446,-73.968379,10/23/2019,17:00:00,3069
71,103 ST,119,40.799446,-73.968379,10/23/2019,21:00:00,474
72,103 ST,119,40.799446,-73.968379,10/23/2019,10:51:34,86
73,103 ST,119,40.799446,-73.968379,10/23/2019,10:52:40,2
74,103 ST,119,40.799446,-73.968379,10/23/2019,10:53:58,5
75,103 ST,119,40.799446,-73.968379,10/23/2019,10:55:19,10
76,103 ST,119,40.799446,-73.968379,10/23/2019,10:56:39,-4
77,103 ST,119,40.799446,-73.968379,10/23/2019,10:57:59,-6
78,103 ST,119,40.799446,-73.968379,10/23/2019,10:59:19,18
79,103 ST,119,40.799446,-73.968379,10/23/2019,11:00:40,8
80,103 ST,119,40.799446,-73.968379,10/23/2019,11:02:00,1
81,103 ST,119,40.799446,-73.968379,10/23/2019,11:03:20,2
82,103 ST,119,40.799446,-73.968379,10/23/2019,11:04:44,13
83,103 ST,119,40.799446,-73.968379,10/23/2019,11:06:05,0
84,103 ST,119,40.799446,-73.968379,10/23/2019,11:07:32,6
85,103 ST,119,40.799446,-73.968379,10/23/2019,11:08:52,0
86,103 ST,119,40.799446,-73.968379,10/23/2019,11:10:13,-2
87,103 ST,119,40.799446,-73.968379,10/23/2019,11:11:33,4
88,103 ST,119,40.799446,-73.968379,10/23/2019,11:12:55,13
89,103 ST,119,40.799446,-73.968379,10/23/2019,11:14:14,6
90,103 ST,119,40.799446,-73.968379,10/23/2019,11:15:34,1
91,103 ST,119,40.799446,-73.968379,10/23/2019,11:16:54,-15
92,103 ST,119,40.799446,-73.968379,10/23/2019,11:18:16,-6
93,103 ST,119,40.799446,-73.968379,10/23/2019,11:19:35,12
94,103 ST,119,40.799446,-73.968379,10/23/2019,11:20:55,6
95,103 ST,119,40.799446,-73.968379,10/23/2019,11:22:15,0
96,103 ST,119,40.799446,-73.968379,10/23/2019,11:23:35,-5
97,103 ST,119,40.799446,-73.968379,10/23/2019,11:24:57,1
98,103 ST,119,40.799446,-73.968379,10/23/2019,11:26:16,5
99,103 ST,119,40.799446,-73.968379,10/24/2019,01:00:00,-1201
100,103 ST,119,40.799446,-73.968379,10/24/2019,05:00:00,-132
101,103 ST,119,40.799446,-73.968379,10/24/2019,09:00:00,4197
102,103 ST,119,40.799446,-73.968379,10/24/2019,13:00:00,3514
103,103 ST,119,40.799446,-73.968379,10/24/2019,17:00:00,3007
104,103 ST,119,40.799446,-73.968379,10/24/2019,21:00:00,628
105,103 ST,119,40.799446,-73.968379,10/25/2019,01:00:00,-1231
106,103 ST,119,40.799446,-73.968379,10/25/2019,05:00:00,-156
107,103 ST,119,40.799446,-73.968379,10/25/2019,09:00:00,3347
108,103 ST,119,40.799446,-73.968379,10/25/2019,13:00:00,3401
109,103 ST,119,40.799446,-73.968379,10/25/2019,17:00:00,3114
110,103 ST,119,40.799446,-73.968379,10/25/2019,21:00:00,1162
111,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,00:00:00,0
112,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,04:00:00,-945
113,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,08:00:00,2871
114,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,12:00:00,2966
115,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,16:00:00,1469
116,103 ST-CORONA,706,40.749865,-73.8627,10/19/2019,20:00:00,-785
117,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,00:00:00,-972
118,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,04:00:00,-947
119,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,08:00:00,1019
120,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,12:00:00,2182
121,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,16:00:00,1315
122,103 ST-CORONA,706,40.749865,-73.8627,10/20/2019,20:00:00,-680
123,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,00:00:00,-975
124,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,04:00:00,-419
125,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,08:00:00,6975
126,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,12:00:00,4075
127,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,16:00:00,170
128,103 ST-CORONA,706,40.749865,-73.8627,10/21/2019,20:00:00,-3740
129,103 ST-CORONA,706,40.749865,-73.8627,10/22/2019,00:00:00,-1850
130,103 ST-CORONA,706,40.749865,-73.8627,10/22/2019,04:00:00,-696
131,103 ST-CORONA,706,40.749865,-73.8627,10/22/2019,08:00:00,7144
132,103 ST-CORONA,706,40.749865,-73.8627,10/22/2019,12:00:00,4409
133,103 ST-CORONA,706,40.749865,-73.8627,10/22/2019,16:00:00,59
