,STATION,stop_id
0,1 AV,L06
1,103 ST,119
2,103 ST-CORONA,706
3,104 ST,A63
4,110 ST,623
5,111 ST,705
6,116 ST,226
7,121 ST,J12
8,125 ST,116
9,135 ST,224
10,137 ST CITY COL,115
11,14 ST,132
12,14 ST-UNION SQ,635
13,145 ST,114
14,15 ST-PROSPECT,F25
15,155 ST,A11
16,157 ST,113
17,161/YANKEE STAD,414
18,163 ST-AMSTERDM,A10
19,167 ST,413
20,168 ST,A09
21,169 ST,F02
22,170 ST,412
23,174 ST,215
24,174-175 STS,D08
25,175 ST,A07
26,176 ST,410
27,18 AV,B19
28,18 ST,131
29,181 ST,111
30,182-183 STS,D06
31,183 ST,408
32,190 ST,A05
33,191 ST,110
34,2 AV,F14
35,20 AV,B20
36,207 ST,108
37,21 ST,G24
38,21 ST-QNSBRIDGE,B04
39,215 ST,107
40,219 ST,207
41,225 ST,206
42,23 ST,130
43,231 ST,104
44,233 ST,205
45,238 ST,103
46,25 AV,B22
47,25 ST,R35
48,28 ST,129
49,3 AV,L05
50,3 AV 138 ST,619
51,3 AV-149 ST,221
52,30 AV,R04
53,33 ST,632
54,34 ST-HERALD SQ,D17
55,34 ST-PENN STA,128
56,36 AV,R06
57,36 ST,G20
58,39 AV,R08
59,4 AV-9 ST,R13
60,42 ST-BRYANT PK,D16
61,45 ST,R39
62,46 ST,714
63,49 ST,R15
64,4AV-9 ST,R15
65,5 AV/53 ST,F12
66,5 AV/59 ST,R13
67,5 AVE,724
68,50 ST,126
69,51 ST,630
70,52 ST,713
71,53 ST,R40
72,55 ST,B15
73,57 ST,B10
74,57 ST-7 AV,R14
75,59 ST,629
76,59 ST COLUMBUS,125
77,6 AV,L02
78,63 DR-REGO PARK,G10
79,65 ST,G15
80,66 ST-LINCOLN,124
81,67 AV,G09
82,68ST-HUNTER CO,628
83,69 ST,711
84,7 AV,D14
85,71 ST,B17
86,72 ST,123
87,74 ST-BROADWAY,710
88,75 AV,F07
89,77 ST,627
90,79 ST,122
91,8 AV,L01
92,8 ST-NYU,R21
93,80 ST,A59
94,82 ST-JACKSON H,709
95,85 ST-FOREST PK,J16
96,86 ST,121
97,88 ST,A60
98,9 AV,B12
99,90 ST-ELMHURST,708
100,96 ST,120
101,ALABAMA AV,J24
102,ALLERTON AV,210
103,AQUEDUCT N.COND,H02
104,AQUEDUCT RACETR,H01
105,ASTOR PL,636
106,ASTORIA DITMARS,R01
107,ATL AV-BARCLAY,235
108,ATLANTIC AV,L24
109,AVENUE H,D32
110,AVENUE I,F31
111,AVENUE J,D33
112,AVENUE M,D34
113,AVENUE N,F33
114,AVENUE P,F34
115,AVENUE U,D37
116,AVENUE X,F38
117,B'WAY-LAFAYETTE,D21
118,BAY 50 ST,B23
119,BAY PKWY,B21
120,BAY RIDGE AV,R42
121,BAY RIDGE-95 ST,R45
122,BAYCHESTER AV,502
123,BEACH 105 ST,H14
124,BEACH 25 ST,H10
125,BEACH 36 ST,H09
126,BEACH 44 ST,H08
127,BEACH 60 ST,H07
128,BEACH 67 ST,H06
129,BEACH 90 ST,H12
130,BEACH 98 ST,H13
131,BEDFORD AV,L08
132,BEDFORD PK BLVD,D03
133,BEDFORD-NOSTRAN,G33
134,BERGEN ST,236
135,BEVERLEY ROAD,D29
136,BEVERLY RD,245
137,BLEECKER ST,637
138,BOROUGH HALL,232
139,BOTANIC GARDEN,S04
140,BOWERY,M19
141,BOWLING GREEN,420
142,BRIGHTON BEACH,D40
143,BROAD CHANNEL,H04
144,BROAD ST,M23
145,BROADWAY,G30
146,BROADWAY JCT,A51
147,BRONX PARK EAST,212
148,BROOK AV,618
149,BROOKLYN BRIDGE,640
150,BUHRE AV,602
151,BURKE AV,209
152,BURNSIDE AV,409
153,CANAL ST,135
154,CANARSIE-ROCKAW,L29
155,CARROLL ST,F21
156,CASTLE HILL AV,607
157,CATHEDRAL PKWY,118
158,CENTRAL AV,M10
159,CENTRAL PK N110,227
160,CHAMBERS ST,137
161,CHAUNCEY ST,J28
162,CHURCH AV,244
163,CITY HALL,R24
164,CLARK ST,231
165,CLASSON AV,G34
166,CLEVELAND ST,J22
167,CLINTON-WASH AV,A44
168,CONEY IS-STILLW,D43
169,CORTELYOU RD,D30
170,CORTLANDT ST,R25
171,COURT SQ,719
172,COURT SQ-23 ST,R28
173,CRESCENT ST,J20
174,CROWN HTS-UTICA,250
175,CYPRESS AV,617
176,CYPRESS HILLS,J19
177,DEKALB AV,L16
178,DELANCEY/ESSEX,F15
179,DITMAS AV,F29
180,DYCKMAN ST,109
181,E 143/ST MARY'S,616
182,E 149 ST,615
183,E 180 ST,213
184,EAST 105 ST,L28
185,EAST BROADWAY,F16
186,EASTCHSTER/DYRE,501
187,ELDER AV,611
188,ELMHURST AV,G13
189,EUCLID AV,A55
190,FAR ROCKAWAY,H11
191,FLUSHING AV,G31
192,FLUSHING-MAIN,701
193,FORDHAM RD,407
194,FOREST AVE,M05
195,FOREST HILLS 71,G08
196,FRANKLIN AV,239
197,FRANKLIN ST,136
198,FREEMAN ST,216
199,FRESH POND RD,M04
200,FT HAMILTON PKY,B13
201,FULTON ST,229
202,GATES AV,J30
203,GRAHAM AV,L11
204,GRAND ARMY PLAZ,237
205,GRAND ST,D22
206,GRAND-NEWTOWN,G12
207,GRANT AV,A57
208,GRD CNTRL-42 ST,631
209,GREENPOINT AV,G26
210,GUN HILL RD,208
211,HALSEY ST,J29
212,HARLEM 148 ST,301
213,HEWES ST,M14
214,HIGH ST,A40
215,HOUSTON ST,134
216,HOWARD BCH JFK,H03
217,HOYT ST,233
218,HUNTERS PT AV,720
219,HUNTS POINT AV,613
220,INTERVALE AV,218
221,INWOOD-207 ST,A02
222,JACKSON AV,220
223,JAMAICA 179 ST,F01
224,JAMAICA VAN WK,G07
225,JAY ST-METROTEC,A41
226,JEFFERSON ST,L15
227,JKSN HT-ROOSVLT,G14
228,JUNCTION BLVD,707
229,JUNIUS ST,254
230,KINGS HWY,D35
231,KINGSBRIDGE RD,406
232,KINGSTON AV,249
233,KINGSTON-THROOP,A47
234,KNICKERBOCKER,M09
235,KOSCIUSZKO ST,J31
236,LAFAYETTE AV,A43
237,LEXINGTON AV/53,F11
238,LEXINGTON AV/63,B08
239,LIBERTY AV,A52
240,LIVONIA AV,L26
241,LONGWOOD AV,614
242,LORIMER ST,L10
243,MARBLE HILL-225,106
244,MARCY AV,M16
245,METROPOLITAN AV,G29
246,METS-WILLETS PT,702
247,MIDDLETOWN RD,603
248,MONTROSE AV,L13
249,MORGAN AV,L14
250,MORISN AV/SNDVW,610
251,MORRIS PARK,505
252,MOSHOLU PKWY,402
253,MT EDEN AV,411
254,MYRTLE AV,M11
255,MYRTLE-WILLOUGH,G32
256,MYRTLE-WYCKOFF,L17
257,NASSAU AV,G28
258,NECK RD,D38
259,NEPTUNE AV,F39
260,NEREID AV,204
261,NEVINS ST,234
262,NEW LOTS,257
263,NEW LOTS AV,257
264,NEW UTRECHT AV,N04
265,NEWKIRK AV,246
266,NEWKIRK PLAZA,D31
267,NORTHERN BLVD,G16
268,NORWOOD 205 ST,D01
269,NORWOOD AV,J21
270,NOSTRAND AV,248
271,OCEAN PKWY,D41
272,OZONE PK LEFFRT,A65
273,PARK PLACE,228
274,PARKCHESTER,608
275,PARKSIDE AV,D27
276,PARSONS BLVD,F03
277,PELHAM BAY PARK,601
278,PELHAM PKWY,211
279,PENNSYLVANIA AV,255
280,PRESIDENT ST,241
281,PRINCE ST,R22
282,PROSPECT AV,219
283,PROSPECT PARK,D26
284,QUEENS PLAZA,G21
285,QUEENSBORO PLZ,718
286,RALPH AV,A49
287,RECTOR ST,139
288,ROCKAWAY AV,253
289,ROCKAWAY BLVD,A61
290,ROCKAWAY PARK B,253
291,ROOSEVELT ISLND,B06
292,SARATOGA AV,252
293,SENECA AVE,M06
294,SHEEPSHEAD BAY,D39
295,SHEPHERD AV,A54
296,SIMPSON ST,217
297,SMITH-9 ST,F22
298,SOUTH FERRY,142
299,SPRING ST,638
300,ST LAWRENCE AV,609
301,ST. GEORGE,S31
302,STEINWAY ST,G19
303,STERLING ST,242
304,SUTPHIN BLVD,F04
305,SUTTER AV,L25
306,SUTTER AV-RUTLD,251
307,TIMES SQ-42 ST,127
308,TOMPKINSVILLE,S30
309,TREMONT AV,D07
310,UNION ST,R32
311,UTICA AV,A48
312,V.CORTLANDT PK,R25
313,VAN SICLEN AV,256
314,VAN SICLEN AVE,256
